"","BAMLC0A4CBBBEY"
"1",7.26
"2",NA
"3",7.36
"4",7.34
"5",7.37
"6",7.39
"7",7.41
"8",7.35
"9",7.44
"10",7.44
"11",7.35
"12",7.35
"13",7.39
"14",7.38
"15",7.38
"16",7.34
"17",7.37
"18",7.4
"19",7.44
"20",7.48
"21",7.43
"22",7.43
"23",7.4
"24",7.33
"25",7.27
"26",7.25
"27",7.28
"28",7.28
"29",7.23
"30",7.23
"31",7.23
"32",7.24
"33",7.15
"34",7.1
"35",NA
"36",7.11
"37",7.14
"38",7.2
"39",7.19
"40",7.21
"41",7.22
"42",7.37
"43",7.39
"44",7.39
"45",7.4
"46",7.43
"47",7.42
"48",7.45
"49",7.39
"50",7.39
"51",7.4
"52",7.43
"53",7.54
"54",7.52
"55",7.53
"56",7.53
"57",7.55
"58",7.55
"59",7.55
"60",7.53
"61",7.56
"62",7.6
"63",7.7
"64",NA
"65",7.72
"66",7.69
"67",7.69
"68",7.68
"69",7.74
"70",7.69
"71",7.72
"72",7.72
"73",7.72
"74",7.79
"75",7.8
"76",7.7
"77",7.72
"78",7.67
"79",7.65
"80",7.69
"81",7.67
"82",7.72
"83",7.76
"84",7.77
"85",7.75
"86",7.6
"87",7.55
"88",7.52
"89",7.5
"90",7.5
"91",7.5
"92",7.57
"93",7.54
"94",7.48
"95",7.46
"96",7.52
"97",7.48
"98",7.47
"99",7.5
"100",7.51
"101",7.49
"102",7.53
"103",7.55
"104",7.54
"105",NA
"106",7.58
"107",7.58
"108",7.54
"109",7.48
"110",7.49
"111",7.46
"112",7.43
"113",7.43
"114",7.43
"115",7.33
"116",7.37
"117",7.39
"118",7.38
"119",7.3
"120",7.26
"121",7.23
"122",7.25
"123",7.23
"124",7.23
"125",7.2
"126",7.23
"127",7.23
"128",7.27
"129",7.31
"130",7.28
"131",7.33
"132",7.27
"133",7.25
"134",7.15
"135",NA
"136",7.11
"137",7.11
"138",7.08
"139",7.09
"140",7.07
"141",7.09
"142",7.08
"143",7.03
"144",7.03
"145",7.06
"146",7.08
"147",6.97
"148",6.96
"149",6.97
"150",6.99
"151",6.95
"152",6.91
"153",6.87
"154",6.84
"155",7.01
"156",7.03
"157",7.04
"158",7.04
"159",7.05
"160",7.17
"161",7.17
"162",7.2
"163",7.17
"164",7.1
"165",7.09
"166",7.04
"167",7.04
"168",7.07
"169",7.12
"170",7.19
"171",7.2
"172",7.19
"173",7.2
"174",7.12
"175",7.16
"176",7.17
"177",NA
"178",7.13
"179",7.16
"180",7.16
"181",7.19
"182",7.17
"183",7.18
"184",7.21
"185",7.23
"186",7.13
"187",7.12
"188",6.96
"189",6.94
"190",6.96
"191",6.94
"192",6.91
"193",6.95
"194",6.9
"195",6.98
"196",6.93
"197",6.94
"198",6.96
"199",6.89
"200",6.87
"201",6.85
"202",6.82
"203",6.79
"204",6.91
"205",6.93
"206",7.01
"207",7
"208",6.92
"209",6.96
"210",6.96
"211",7.03
"212",7.01
"213",7.01
"214",6.99
"215",6.91
"216",6.88
"217",6.76
"218",6.89
"219",6.81
"220",6.76
"221",6.81
"222",6.9
"223",6.93
"224",6.93
"225",6.9
"226",6.9
"227",6.91
"228",6.91
"229",6.89
"230",6.88
"231",6.87
"232",6.86
"233",6.86
"234",6.83
"235",6.86
"236",6.82
"237",6.87
"238",6.86
"239",6.88
"240",6.88
"241",6.89
"242",6.89
"243",6.89
"244",6.88
"245",6.85
"246",6.87
"247",6.94
"248",6.98
"249",6.96
"250",6.92
"251",6.84
"252",6.78
"253",6.81
"254",6.8
"255",6.83
"256",6.79
"257",6.75
"258",6.76
"259",6.77
"260",6.79
"261",NA
"262",6.78
"263",6.8
"264",6.84
"265",6.8
"266",NA
"267",6.73
"268",6.6
"269",6.57
"270",6.62
"271",6.55
"272",6.47
"273",6.47
"274",6.51
"275",6.54
"276",6.55
"277",6.62
"278",6.62
"279",6.65
"280",6.62
"281",6.63
"282",6.75
"283",6.71
"284",6.76
"285",6.78
"286",6.68
