"","LFWA64TTUSM647S","PAYEMS","ratio"
"2000-01-01",178259552.811672,163775000,0.918744591337696
"2000-02-01",178323587.64884,163920000,0.919227804696236
"2000-03-01",178496816.491671,164511250,0.921648090052499
"2000-04-01",178596547.856669,164875000,0.923170139505266
"2000-05-01",178745268.817932,165147500,0.92392655253
"2000-06-01",179023291.215438,165098750,0.92221938765118
"2000-07-01",179256322.351454,165308750,0.922192019960623
"2000-08-01",179348660.100635,165300000,0.921668441276606
"2000-09-01",179526594.393467,165455000,0.921618329356672
"2000-10-01",179745468.650902,165456250,0.920503038223154
"2000-11-01",179927005.879078,165712500,0.920998485971411
"2000-12-01",180176647.022015,165902500,0.920776930540444
"2001-01-01",180371152.172013,165890000,0.919714699398256
"2001-02-01",180574621.807809,166005000,0.919315230114031
"2001-03-01",180738053.065341,165951250,0.918186553331991
"2001-04-01",180900519.416231,165593750,0.91538570776012
"2001-05-01",181045997.533693,165532500,0.914311844807252
"2001-06-01",181325638.606286,165390000,0.912115910751666
"2001-07-01",181562875.942779,165233750,0.910063520100192
"2001-08-01",181795909.043558,165053750,0.907906843824816
"2001-09-01",181982727.333537,164738750,0.905243878986755
"2001-10-01",182169502.349219,164335000,0.902099406765517
"2001-11-01",182386206.566239,163947500,0.898902954815597
"2001-12-01",182546110.274427,163746250,0.897013087563659
"2002-01-01",182570594.018489,163585000,0.896009573061003
"2002-02-01",182811586.209653,163440000,0.894035238076009
"2002-03-01",183068861.762604,163415000,0.892642246347223
"2002-04-01",183298495.051246,163295000,0.890869289212367
"2002-05-01",183503051.800726,163308750,0.889951139217805
"2002-06-01",183706798.897342,163368750,0.889290712050852
"2002-07-01",183894173.193858,163255000,0.887766029584306
"2002-08-01",184177228.329829,163253750,0.886394868032443
"2002-09-01",184319244.021149,163155000,0.88517615654543
"2002-10-01",184466406.628807,163303750,0.885276365406783
"2002-11-01",184680058.503177,163290000,0.884177757595799
"2002-12-01",184764143.415549,163110000,0.882801159276629
"2003-01-01",185634129.922308,163245000,0.879391090788756
"2003-02-01",185889948.769488,163076250,0.877273091307492
"2003-03-01",186186139.3883,162807500,0.874434050434105
"2003-04-01",186433564.321676,162742500,0.872924897360225
"2003-05-01",186682326.041154,162762500,0.871868823640643
"2003-06-01",186841519.423415,162761250,0.87111928067313
"2003-07-01",187046400.510813,162758750,0.870151735374298
"2003-08-01",187320379.066984,162708750,0.868612111562175
"2003-09-01",187480222.929379,162848750,0.868618286534376
"2003-10-01",187669048.758833,163091250,0.869036482460051
"2003-11-01",187892976.557523,163112500,0.868113875188216
"2003-12-01",188046013.87706,163256250,0.868171819407632
