"";"LFWA64TTUSM647S";"PAYEMS";"ratio"
"1980-01-01";142430513,553455;113500000;0,796879805937109
"1980-02-01";142634531,271125;113603750;0,79646737005121
"1980-03-01";142805507,474761;113742500;0,796485387792922
"1980-04-01";142921458,564729;113561250;0,79457102621555
"1980-05-01";143208349,488693;113025000;0,78923470875505
"1980-06-01";143387607,157354;112626250;0,785467114158643
"1980-07-01";143537236,751271;112300000;0,78237537897291
"1980-08-01";143789806,995737;112623750;0,783252668273899
"1980-09-01";143940708,938923;112766250;0,783421527038949
"1980-10-01";144052912,274328;113112500;0,78521494785606
"1980-11-01";144247258,967715;113433750;0,786384093616562
"1980-12-01";144298223,392099;113678750;0,78780422466535
"1981-01-01";144382032,539957;113791250;0,788126112357567
"1981-02-01";144541542,728166;113881250;0,787879026683507
"1981-03-01";144713076,752074;114012500;0,787852090211094
"1981-04-01";144866750,205396;114103750;0,787646232404749
"1981-05-01";145097835,170131;114120000;0,786503808731476
"1981-06-01";145288960,91274;114362500;0,787138260756684
"1981-07-01";145352952,701577;114501250;0,787746295289106
"1981-08-01";145540666,2197;114456250;0,786421094343647
"1981-09-01";145682927,822294;114346250;0,784898077690209
"1981-10-01";145863848,032343;114225000;0,783093285559506
"1981-11-01";146037744,158983;113963750;0,780371887119361
"1981-12-01";146098045,125567;113618750;0,777688366071894
"1982-01-01";145990793,117402;113206250;0,775434173502725
"1982-02-01";146092607,44346;113203750;0,774876648319194
"1982-03-01";146248752,892645;113042500;0,772946762034817
"1982-04-01";146506279,588088;112687500;0,769164982667148
"1982-05-01";146774400,119801;112633750;0,767393700182494
"1982-06-01";146897381,987981;112331250;0,764691980754231
"1982-07-01";147020435,678317;111901250;0,761127182651272
"1982-08-01";147260986,232604;111703750;0,75854272647312
"1982-09-01";147471570,826896;111478750;0,75593383439887
"1982-10-01";147634687,980465;111133750;0,752761776518979
"1982-11-01";147634197,208655;110982500;0,751739787246892
"1982-12-01";147631508,194219;110963750;0,751626474302626
"1983-01-01";147306346,357517;111237500;0,755143975467446
"1983-02-01";147402509,183863;111146250;0,754032279473352
"1983-03-01";147614893,04551;111362500;0,754412361127184
"1983-04-01";147980977,217556;111705000;0,754860537485001
"1983-05-01";148207990,784536;112055000;0,756065846428651
"1983-06-01";148340135,957755;112526250;0,758569144307956
"1983-07-01";148492993,564331;113046250;0,761290127476792
"1983-08-01";148665854,916115;112661250;0,757815236481634
"1983-09-01";148813266,50545;114058750;0,766455522941046
"1983-10-01";148925508,768392;114400000;0,768169274331063
"1983-11-01";148943537,032052;114843750;0,771055611330662
"1983-12-01";149027571,745692;115287500;0,773598459999954
"1984-01-01";149162771,059123;115841250;0,776609667261307
"1984-02-01";149321769,642135;116446250;0,779834382348102
"1984-03-01";149473074,063147;116786250;0,781319650592467
"1984-04-01";149621946,084171;117240000;0,783574890371
"1984-05-01";149714880,959024;117622500;0,785643345848784
"1984-06-01";149955254,772765;118098750;0,787559930320289
"1984-07-01";150021146,217619;118486250;0,7897969918729
"1984-08-01";150127991,47247;118790000;0,791258171343639
"1984-09-01";150315475,779368;119180000;0,792865800291459
"1984-10-01";150399040,413509;119536250;0,794793967244376
"1984-11-01";150526249,041459;119977500;0,797053675116524
"1984-12-01";150686123,790539;120133750;0,797244941856702
"1985-01-01";150502942,358868;120465000;0,800416245104074
"1985-02-01";150655714,956508;120628750;0,800691497397385
"1985-03-01";150829810,038856;121052500;0,802576758326587
"1985-04-01";150881673,441049;121297500;0,803924673114075
"1985-05-01";150978231,149006;121640000;0,805679064288076
"1985-06-01";151250557,398951;121823750;0,805443312705735
"1985-07-01";151276776,903644;122060000;0,806865419123428
"1985-08-01";151394525,5059;122300000;0,807823133573174
"1985-09-01";151501208,80411;122556250;0,808945690713692
"1985-10-01";151650536,571207;122791250;0,809698750669067
"1985-11-01";151793323,506761;123053750;0,810666419030736
"1985-12-01";151927623,374611;123261250;0,811315593979064
"1986-01-01";152368215,012365;123415000;0,80997864278967
"1986-02-01";152469830,013109;123558750;0,810381634119856
"1986-03-01";152632130,071775;123667500;0,810232419228151
"1986-04-01";152741492,749799;123901250;0,81118265750459
"1986-05-01";152871015,785938;124060000;0,811533823872267
"1986-06-01";153073412,935154;123943750;0,809701355861882
"1986-07-01";153148575,687366;124341250;0,811899486769158
"1986-08-01";153317093,844421;124485000;0,811944688478909
"1986-09-01";153444007,342417;124917500;0,814091746973482
"1986-10-01";153599896,986455;125151250;0,814787330300334
"1986-11-01";153743124,637127;125385000;0,815548664669985
"1986-12-01";153835591,051053;125636250;0,816691697555902
"1987-01-01";153837577,467408;125847500;0,818054353635815
"1987-02-01";154046937,25779;126148750;0,818898137448174
"1987-03-01";154201836,183796;126455000;0,820061570792685
"1987-04-01";154326790,751737;126873750;0,822110985279929
"1987-05-01";154501823,900781;127160000;0,823032355149804
"1987-06-01";154635020,051409;127375000;0,823713800131779
"1987-07-01";154712600,176524;127808750;0,826104337036368
"1987-08-01";154817134,444104;128025000;0,826943351326676
"1987-09-01";154931184,453137;128308750;0,828166069038286
"1987-10-01";155076085,786496;128922500;0,831349974731091
"1987-11-01";155222570,579347;129215000;0,83244981395246
"1987-12-01";155342968,513124;129576250;0,834130126649748
"1988-01-01";155377299,853328;129691250;0,834685955557376
"1988-02-01";155510686,349053;130267500;0,837675551811319
"1988-03-01";155601125,887869;130611250;0,83939784660763
"1988-04-01";155691053,112556;130915000;0,840863989180905
"1988-05-01";155812531,321145;131202500;0,842053581233327
"1988-06-01";155995175,376603;131657500;0,843984435301623
"1988-07-01";156121753,279399;131937500;0,84509363511875
"1988-08-01";156148325,287665;132092500;0,845942470126733
"1988-09-01";156256189,349533;132516250;0,848070406373289
"1988-10-01";156405882,410429;132845000;0,849360637545574
"1988-11-01";156483047,065543;133271250;0,851665739510934
"1988-12-01";156640666,836384;133622500;0,853051143733784
"1989-01-01";156731447,257187;133951250;0,854654584923177
"1989-02-01";156850078,790898;134283750;0,856128036626734
"1989-03-01";156922458,0199;134526250;0,85727850364758
"1989-04-01";156971944,48111;134738750;0,858361985929368
"1989-05-01";157009132,487632;134891250;0,859129961823244
"1989-06-01";157156850,750235;135033750;0,859229167264273
"1989-07-01";157249895,850747;135086250;0,859054623020014
"1989-08-01";157300313,779741;135150000;0,859184554388386
"1989-09-01";157471343,592645;135461250;0,860227943126072
"1989-10-01";157551480,012384;135595000;0,860639328740941
"1989-11-01";157655436,245161;135940000;0,86226014933356
"1989-12-01";157838132,389256;136045000;0,861927329857715
"1990-01-01";159324172,992528;136496250;0,856720279391636
"1990-02-01";159489368,996223;136793750;0,857698233185934
"1990-03-01";159599870,345804;137055000;0,858741299119127
"1990-04-01";159621464,820087;137110000;0,858969689036119
"1990-05-01";159706672,833317;137298750;0,859693258673645
"1990-06-01";159808015,56663;137321250;0,859288875549209
"1990-07-01";159870780,907655;137280000;0,858693497464656
"1990-08-01";159994269,660064;137021250;0,856413484627454
"1990-09-01";160210312,317192;136900000;0,854501798417064
"1990-10-01";160313343,612502;136708750;0,852759645076349
"1990-11-01";160509816,769996;136516250;0,850516515108993
"1990-12-01";160674360,076805;136458750;0,849287651961212
"1991-01-01";160515499,96036;136320000;0,849263778474134
"1991-02-01";160598708,932102;135918750;0,846325296783449
"1991-03-01";160736637,010139;135720000;0,844362570503693
"1991-04-01";160919735,422593;135458750;0,841778353936951
"1991-05-01";161065331,825672;135313750;0,840117165290765
"1991-06-01";161186837,371004;135421250;0,840150797724883
"1991-07-01";161237504,195563;135365000;0,839537926832565
"1991-08-01";161429673,519956;135391250;0,838701132498189
"1991-09-01";161592467,79108;135422500;0,838049581463694
"1991-10-01";161708675,546588;135446250;0,837594207869065
"1991-11-01";161862091,959131;135371250;0,836336960442722
"1991-12-01";161971034,005918;135412500;0,836029113668882
